"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"00700.HK","20260119","613.5","614.5","608.5","610.0","617.5","-7.5","-1.21","13233330.0","8085158357.47"
"00700.HK","20260120","601.0","607.0","598.0","601.0","610.0","-9.0","-1.48","24332228.0","14637834605.49"
"00700.HK","20260121","598.0","606.0","598.0","602.5","601.0","1.5","0.25","16003431.0","9625116160.465"
"00700.HK","20260122","604.5","605.5","596.0","597.5","602.5","-5.0","-0.83","27168713.0","16278457326.9"
"00700.HK","20260123","597.5","602.0","595.0","595.0","597.5","-2.5","-0.42","19177660.0","11445681352.355"
"00700.HK","20260126","595.0","605.0","594.0","599.5","595.0","4.5","0.76","17439619.0","10437731314.27"
"00700.HK","20260127","600.0","610.5","598.5","607.0","599.5","7.5","1.25","23887447.0","14458720764.725"
"00700.HK","20260128","613.0","623.0","610.5","621.0","607.0","14.0","2.31","25577066.0","15812292185.14"
"00700.HK","20260129","614.5","625.0","612.5","622.0","621.0","1.0","0.16","22951530.0","14255212249.96"
"00700.HK","20260130","615.0","619.5","605.5","606.0","622.0","-16.0","-2.57","21479886.0","13126677309.7"
"00700.HK","20260202","598.0","604.5","590.5","598.5","606.0","-7.5","-1.24","27926332.0","16667624948.201"
"00700.HK","20260203","598.5","601.5","561.0","581.0","598.5","-17.5","-2.92","65128647.0","37562016592.14"
"00700.HK","20260204","572.0","574.5","558.0","558.0","581.0","-23.0","-3.96","60374834.0","34030535809.43"
"00700.HK","20260205","550.0","561.5","541.0","558.5","558.0","0.5","0.09","79306977.0","43460897175.25"
"00700.HK","20260206","546.0","557.5","543.0","547.5","558.5","-11.0","-1.97","35402860.0","19472346757.185"
"00700.HK","20260209","550.0","562.5","550.0","560.0","547.5","12.5","2.28","26375723.0","14680203940.68"
"00700.HK","20260210","563.0","566.0","547.0","551.0","560.0","-9.0","-1.61","29211865.0","16193933207.686"
"00700.HK","20260211","543.0","550.5","543.0","548.0","551.0","-3.0","-0.54","23759058.0","12991880860.384"
"00700.HK","20260212","537.0","541.0","530.5","535.5","548.0","-12.5","-2.28","39790780.0","21258224270.274"
"00700.HK","20260213","525.5","534.5","525.0","532.0","535.5","-3.5","-0.65","26900740.0","14233832931.903"
"00700.HK","20260216","530.0","535.0","527.5","533.0","532.0","1.0","0.19","7224483.0","3838968116.18"
